ID_PRECIO|ID_ITEM|TIPO_TARIFA|PRECIO_PUBLICO|COSTO_PROVEEDOR|ID_PROV
292|187|LUNES_A_SABADO|336.4|0|14
293|187|DOMINGOS_Y_FESTIVOS|672.8|0|14
294|188|LUNES_A_SABADO|134.56|0|14
295|188|DOMINGOS_Y_FESTIVOS|269.12|0|14
296|189|LUNES_A_SABADO|134.56|0|14
297|189|DOMINGOS_Y_FESTIVOS|269.12|0|14
298|190|LUNES_A_SABADO|134.56|0|14
299|190|DOMINGOS_Y_FESTIVOS|269.12|0|14
300|191|LUNES_A_SABADO|134.56|0|14
301|191|DOMINGOS_Y_FESTIVOS|269.12|0|14
302|192|LUNES_A_SABADO|134.56|0|14
303|192|DOMINGOS_Y_FESTIVOS|269.12|0|14
304|193|LUNES_A_SABADO|1951.12|0|14
305|193|DOMINGOS_Y_FESTIVOS|3902.24|0|14
306|194|LUNES_A_SABADO|1951.12|0|14
307|194|DOMINGOS_Y_FESTIVOS|3902.24|0|14
308|195|LUNES_A_SABADO|94.19|0|14
309|195|DOMINGOS_Y_FESTIVOS|188.38|0|14
310|196|LUNES_A_SABADO|201.84|0|14
311|196|DOMINGOS_Y_FESTIVOS|403.68|0|14
312|197|LUNES_A_SABADO|94.19|0|14
313|197|DOMINGOS_Y_FESTIVOS|188.38|0|14
314|198|LUNES_A_SABADO|67.28|0|14
315|198|DOMINGOS_Y_FESTIVOS|134.56|0|14
