CLUES|SUBCLUES|CLAVE AREA|AREA|CLAVE SERVICIO|SERVICIO|UBICACION FISICA|DIAS Y HORAS DE SERVICIO
MNSMP000692|MNSMP000692-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000704|MNSMP000704-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000716|MNSMP000716-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000745|MNSMP000745-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000750|MNSMP000750-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000762|MNSMP000762-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000786|MNSMP000786-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000791|MNSMP000791-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000803|MNSMP000803-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000815|MNSMP000815-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000820|MNSMP000820-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000832|MNSMP000832-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
MNSMP000856|MNSMP000856-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000885|MNSMP000885-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000890|MNSMP000890-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000902|MNSMP000902-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000931|MNSMP000931-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000943|MNSMP000943-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000955|MNSMP000955-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000972|MNSMP000972-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP000996|MNSMP000996-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001001|MNSMP001001-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001030|MNSMP001030-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001054|MNSMP001054-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001066|MNSMP001066-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001071|MNSMP001071-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001083|MNSMP001083-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001095|MNSMP001095-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001112|MNSMP001112-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001124|MNSMP001124-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001136|MNSMP001136-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001165|MNSMP001165-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001170|MNSMP001170-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001206|MNSMP001206-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001211|MNSMP001211-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
MNSMP001235|MNSMP001235-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
