CLUES|DOMINGO|LUNES|MARTES|MIERCOLES|JUEVES|VIERNES|SABADO|HORA INICIO|HORA FIN
ASSSA000660|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000672|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000684|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000696|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000701|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000701|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000713|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000725|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000730|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000742|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000754|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000766|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000766|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000771|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000783|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000795|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000800|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000812|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000824|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000836|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000841|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000853|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000865|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000865|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000870|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000882|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000894|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000906|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000911|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000923|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000931|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA000943|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA000955|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA000960|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA000984|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA000996|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA001001|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA001013|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA001025|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA001030|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA001046|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA001051|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001063|NO|SI|SI|SI|SI|SI|NO|08:00|15:00
ASSSA001075|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001080|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001092|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001104|NO|SI|SI|SI|SI|SI|NO|07:00|14:30
ASSSA001116|NO|SI|SI|SI|SI|SI|NO|07:00|15:00
ASSSA001121|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001133|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001145|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001150|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001162|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001174|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA001186|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA001186|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
